Date,Candle_Color,Opening_High,Opening_Low,Long_SL,Long_TP,Short_SL,Short_TP,Long_Result,Long_Points,Short_Result,Short_Points
2025-02-18,red,20065.458984375,20016.591796875,20008.591796875,20104.552734375,20073.458984375,19977.498046875,Not Triggered,0.0,TP Hit,39.09375
2025-02-19,red,19994.94921875,19966.935546875,19958.935546875,20017.36015625,20002.94921875,19944.524609375,Not Triggered,0.0,TP Hit,22.410937500000728
2025-02-20,red,19998.107421875,19841.3046875,19833.3046875,20123.549609375,20006.107421875,19715.8625,Not Triggered,0.0,EOD,-122.3203125
2025-02-21,red,19977.759765625,19926.88671875,19918.88671875,20018.458203125,19985.759765625,19886.18828125,Not Triggered,0.0,TP Hit,40.69843749999927
2025-02-24,red,19562.6640625,19407.6640625,19399.6640625,19686.6640625,19570.6640625,19283.6640625,Not Triggered,0.0,TP Hit,124.0
2025-02-25,red,19197.638671875,19080.626953125,19072.626953125,19291.248046875,19205.638671875,18987.017578125,Not Triggered,0.0,TP Hit,93.609375
2025-02-26,green,19212.501953125,19109.640625,19101.640625,19294.791015625,19220.501953125,19027.3515625,SL Hit,-110.861328125,Not Triggered,0.0
2025-02-27,red,19101.05078125,18882.876953125,18874.876953125,19275.58984375,19109.05078125,18708.337890625,Not Triggered,0.0,TP Hit,174.5390625
2025-02-28,red,18537.78515625,18469.22265625,18461.22265625,18592.63515625,18545.78515625,18414.37265625,TP Hit,54.849999999998545,Not Triggered,0.0
2025-03-03,red,18873.126953125,18706.82421875,18698.82421875,19006.169140625,18881.126953125,18573.78203125,Not Triggered,0.0,TP Hit,133.04218749999927
2025-03-04,red,18258.6640625,18100.951171875,18092.951171875,18384.834375,18266.6640625,17974.780859375,Not Triggered,0.0,TP Hit,126.17031249999854
2025-03-05,red,18335.345703125,18188.947265625,18180.947265625,18452.464453125,18343.345703125,18071.828515625,SL Hit,-154.3984375,Not Triggered,0.0
2025-03-06,green,18275.02734375,18196.548828125,18188.548828125,18337.81015625,18283.02734375,18133.766015625,TP Hit,62.782812500001455,Not Triggered,0.0
2025-03-07,green,18226.388671875,18132.40234375,18124.40234375,18301.577734375,18234.388671875,18057.21328125,Not Triggered,0.0,TP Hit,75.18906250000146
2025-03-10,red,17604.037109375,17491.658203125,17483.658203125,17693.940234375,17612.037109375,17401.755078125,SL Hit,-120.37890625,Not Triggered,0.0
2025-03-11,red,17432.193359375,17316.4140625,17308.4140625,17524.816796875,17440.193359375,17223.790625,TP Hit,92.62343749999854,Not Triggered,0.0
2025-03-12,red,17594.427734375,17507.666015625,17499.666015625,17663.837109375,17602.427734375,17438.256640625,Not Triggered,0.0,TP Hit,69.40937499999927
2025-03-13,green,17530.201171875,17455.087890625,17447.087890625,17590.291796875,17538.201171875,17394.997265625,Not Triggered,0.0,TP Hit,60.09062500000073
2025-03-14,green,17631.96484375,17586.8359375,17578.8359375,17668.06796875,17639.96484375,17550.7328125,TP Hit,36.103125000001455,Not Triggered,0.0
2025-03-17,red,17755.173828125,17681.646484375,17673.646484375,17813.995703125,17763.173828125,17622.824609375,Not Triggered,0.0,SL Hit,-81.52734375
