2025-03-20 16:11:36,675 - TRADE ENTRY - Type: SHORT, Entry Price: 19769.00, Stop Loss: 19788.75, Take Profit: 19759.60, Symbol: NQH5, Order ID: 1
2025-03-20 16:12:07,624 - TRADE ENTRY - Type: SHORT, Entry Price: 19769.00, Stop Loss: 19788.75, Take Profit: 19759.60, Symbol: NQH5, Order ID: 1
2025-03-20 16:13:14,137 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 2
2025-03-20 16:13:14,139 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 3
2025-03-20 16:13:19,123 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 4
2025-03-20 16:13:19,123 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 5
2025-03-20 16:13:19,124 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 6
2025-03-20 16:13:24,164 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 7
2025-03-20 16:13:24,165 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 8
2025-03-20 16:13:24,166 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 9
2025-03-20 16:13:29,205 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 10
2025-03-20 16:13:29,206 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 11
2025-03-20 16:13:29,207 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 12
2025-03-20 16:13:34,147 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 13
2025-03-20 16:13:34,148 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 14
2025-03-20 16:13:34,149 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 15
2025-03-20 16:13:38,157 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 16
2025-03-20 16:13:39,156 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 17
2025-03-20 16:13:39,157 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 18
2025-03-20 16:13:44,234 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 19
2025-03-20 16:13:44,235 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 20
2025-03-20 16:13:44,235 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 21
2025-03-20 16:13:48,172 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 22
2025-03-20 16:13:49,171 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 23
2025-03-20 16:13:49,172 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 24
2025-03-20 16:13:54,181 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 25
2025-03-20 16:13:54,181 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 26
2025-03-20 16:13:54,182 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 27
2025-03-20 16:13:59,127 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 28
2025-03-20 16:13:59,129 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 29
2025-03-20 16:13:59,129 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 30
2025-03-20 16:14:04,208 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 31
2025-03-20 16:14:04,208 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 32
2025-03-20 16:14:04,209 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 33
2025-03-20 16:14:09,234 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 34
2025-03-20 16:14:09,235 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 35
2025-03-20 16:14:09,235 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 36
2025-03-20 16:14:14,218 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 37
